"","WordVec_1","WordVec_2","WordVec_3","WordVec_4","WordVec_5","WordVec_6","WordVec_7","WordVec_8","WordVec_9","WordVec_10","WordVec_11","WordVec_12","WordVec_13","WordVec_14","WordVec_15"
"				<",0.0476926547460515,-0.252739698999645,0.511529140966573,0.0845668151639722,-0.0934804542905238,0.490287250812434,-0.680998446984945,0.705989354940775,-0.31230403252162,-0.380365120590006,-0.617708828552278,0.702388778505426,0.0158489831934169,0.132803475611161,-0.055412615177081
"""""	""MeadowCloud""",-0.630068788072094,-0.108943823026493,-0.409249977208674,0.629263833397999,-0.258715413277969,-0.76705813431181,0.452392451232299,0.500961200334132,-0.345623860834166,-0.679937385721132,0.15109571418725,-0.33486615633592,-0.0276599440257996,-0.0084953848272562,0.681348677026108
"""""	""appconfigglobalPropertieshttp",-0.00448210206807315,-0.0880851324628577,-0.398481052822714,0.328729032976088,0.417471019492263,-0.506688219101786,0.315020092061175,0.0413306311131738,-0.583381979147604,-0.212367896623709,0.43152229791444,-0.189186126615627,0.0268784634767086,0.620948075290705,-0.764755109925314
"""""	""appconfigglobalPropertiesmyProperty",-0.273379079466053,0.313840397923403,-0.190597175050829,0.159102026960859,-0.572609902439829,0.125339274896532,0.559485457408924,-0.108986798605568,0.175420510226187,0.0477202816383898,-0.138273374417188,-0.588233972739189,-0.0710250646091859,0.252795105038119,-0.12313539281535
"""""	""if",-0.146303361623796,0.046229550404879,-0.559974117671761,-0.854448912759706,0.0158528173096297,-0.531628691478431,-0.05412784893755,-0.0429713340880795,0.156333769046062,0.492456568771226,0.51573184047158,-0.301230836975016,-0.450571532722922,0.455330879379369,-0.117555861777913
"""""	""javascriptCopy",0.000600635693772528,-0.667274343993061,-0.148072773477418,-0.364453606608816,-0.41700598116916,0.517199019743367,-0.164673883557549,0.0575107508855431,-0.131178132242402,0.221208669449039,-0.328699521077048,-0.197556755588919,-0.33418607657449,0.804053377643612,-0.346043944905827
"""""	""moduleexports",-0.174003691673548,0.270416361185424,0.109464658192391,-0.278500616616236,-0.00119806746369783,0.267537945632507,-0.396087801492674,-0.25782490473194,-0.10212297690951,-0.731690940030952,-0.0930517501278591,0.384206795968699,-0.204779480510226,-0.105568232399285,0.0932243754080428
"""""	""在",-0.0695521200024244,-0.6724786289599,-0.107234235656902,0.459093419344462,0.185332698295858,-0.622883282432108,0.03280007275568,-0.550531335334802,0.067712302320801,0.101847323916368,-0.439317055965811,-0.0405353570238296,-0.157799892458991,0.533220938943848,-0.583790936279876
"""""	""总的来说，globalProperties",0.188624003051554,0.0337244651662932,-0.122860010403398,0.058141372676514,0.0290055713540214,0.44200979839337,-0.526672934470436,-0.19548648257079,-0.110475196279661,-0.0603075452866179,-0.0313917023221086,-0.486389689676915,0.755336318056666,-0.0494528395836645,0.387138626107168
"""""	""相比之下，Vueprototype",-0.333377656892587,0.197347027332035,-0.0918593991819871,-0.3117766067413,0.412071270356506,-0.156174650697285,0.803734383989281,-0.252479162688686,-0.540253230083321,0.00205031635462427,-0.314820000937537,0.397176370871546,-0.700720733169232,-0.400105232994785,-0.540457502740636
"""""	""需要注意的是，在修改",-0.678076176228209,-0.596116122749727,-0.394689398174512,0.141962127893134,0.197675161262755,0.421835818157429,0.0704312688711796,-0.372698703185208,0.137597619570491,-0.43038565176593,0.695119813118062,-0.862108449437476,0.175296711499924,0.214196858243579,0.277439397454565
">	Game",0.0207486603301276,-0.363681949555501,0.0356698425348918,0.0753952668490293,0.0226685432534376,0.661446195564529,-0.126391659824083,-0.201035943049136,-0.525792528201023,-0.40639362166891,-0.142670985221696,0.292016354316881,0.408445683497068,-0.150370939470715,0.421176367416421
"APPCONTENTMETADATAEFFECTIVITYGROUPTITLE""",0.359389385523068,-0.607117713617746,-0.292393601627751,-0.206024805716824,-0.299813275688315,-0.227789643460364,0.0105445302625411,-0.0303918821103096,-0.420869249929705,0.324618861152415,0.578189987182339,-0.793237064603357,0.318022023876848,-0.476810832132565,0.485796203660265
"APPCONTENTMETADATAEXIFGROUPTITLE""",-0.0789577163283467,-0.831456982816278,-0.0939503233326133,-0.202130467756063,-0.374653455377366,-0.00737284985127376,0.286620318813654,0.135827393251865,0.361667975369372,0.48780152716392,-0.812191861159747,0.143496666038986,0.646283558378182,0.187417176274136,0.280201104993637
"Adjust",-0.557756359672228,0.241125021155585,-0.400945180561206,-0.152492316273369,-0.0332025049037524,0.61393113418498,-0.445673582814563,0.586809168340659,-0.192270345318171,0.0508913104115231,0.40203898135228,-0.00500339331553673,0.131466830392107,0.0715251089423201,-0.0475657846491384
"All",0.0482278326737727,0.147812374837619,-0.331321235630258,0.00969826800047724,-0.088226564746949,-0.0030535511443118,-0.92740364172139,0.0690055659421172,-0.350188932208865,0.343152639738015,0.421725176795585,-0.0126131815375783,-0.312466514491287,0.127214312590259,0.0957960668144759
"Android""",0.856232868217046,-0.194158661342834,0.565552496279526,-0.657321319304536,0.507923914360888,-0.32665821362053,0.41901954919165,-0.214106402096846,-0.0746717434379488,0.427598497660052,-0.518477067454486,0.535746806388062,-0.826802961361781,0.651103947312862,0.0814121954258121
"AngularFireModuleinitializeAppenvironmentfirebase""",0.666406640782952,0.151251934934407,-0.145137290935963,0.493115388788283,-0.260124017018825,-0.519810171565041,0.34222738770768,0.666317299939692,0.244268500246108,-0.546450826106593,0.816891309339553,0.624120183289051,0.16489806282334,0.113437817664817,0.0404920184519142
"ApiFetchClient""",-0.169306512294995,0.308072332898305,0.161200471427643,0.798887068691452,-0.665157624597239,0.153230272669325,-0.118700073501789,-0.144950278259629,-0.0450797013755687,0.139286190315295,0.355015950924511,-0.287733049716473,0.112503992187664,0.468156354464397,0.00863859163283975
"App""",-0.698696662252318,-0.140191281631622,-0.63787323714578,0.530982691370327,-0.44379348868658,0.848332778142534,-0.791387350227448,0.310402060221391,0.533564934995979,0.6943222669248,-0.0909765633622133,0.392432384125224,-0.225801761727137,-0.290114966311513,-0.103054084391044
"Application",0.107336434749655,0.413096643242181,0.0916108877965676,-0.694633801650442,0.481321434271035,-0.625023792099692,-0.383647503287206,-0.465579579737301,0.108020685808198,-0.187380137073091,0.286358309032316,-0.0589853069107806,-0.335712774977452,-0.182604048858312,-0.786339016577965
"Assert",-0.6379524977065,0.902405210154268,-0.243817006544913,-0.000323865343109742,0.633087037882021,-0.208451274102966,0.129577609841625,0.887489116202405,-0.444670887683104,-0.445881261728273,0.265836086223346,-0.229460179418234,-0.183633903712982,0.0423834184664599,0.345371348866006
"AuthGuard",-0.254434873417408,0.362052734697336,0.0845435049328612,0.466434869552147,-0.313585310770158,-0.365189469533921,-0.913412197669572,-0.44438387647864,-0.0728640495535578,-0.408438491974366,0.541498824565937,-0.223847560413335,-0.126236737480674,-0.831157863789617,0.710718018209748
"BASIC""",0.0876083654696044,0.62883262079383,-0.311393788855721,0.210251943033886,-0.482767603926686,-0.225998013859513,0.396802376560953,-0.257046543582525,0.765140784517054,0.70591421362018,0.104576053828536,0.174133498393931,-0.0806010138950153,0.678716068965399,-0.00529466899987924
"Channel",-0.15728088264957,-0.0752290831266686,0.29036410217207,-0.213391195489307,-0.0526236704174298,-0.175697240945767,-0.00462214189407484,-0.175885452316458,0.887214668811981,0.51474977448308,0.343460178994666,0.0582725028390846,0.516800976479945,0.195244724898202,0.528450411609264
"Code""",-0.396567450462677,-0.0557237401001316,0.410588705288905,0.042030161737511,0.0312704965666713,-0.162438528044997,-0.147418500754055,-0.79883456739421,0.121189639891353,-0.170224714868869,0.100809092068045,0.123769250033238,-0.306595332398761,0.397347399061831,-0.39454429127419
"Configuration",-0.350800750039311,0.261853580925553,-0.53813710737339,-0.205049732406993,0.401895841210689,-0.223436976299588,-0.251518457429616,-0.599002717707192,-0.0712161953260584,0.527088035565011,-0.160744999161376,-0.167725970218438,0.204590112228347,-0.111557084317242,-0.0938866503610565
"ConsoleLogger",-0.0592514230913895,0.234214379521814,-0.180262985443622,0.59605980845041,-0.16668446016688,-0.662202843575128,-0.308628426960285,-0.246513641738839,-0.492853549862223,-0.141680947219,0.0031037012120039,-0.312463555453054,-0.275384288395093,-0.351099531977273,0.015421257495811
"Copyright",-0.0949037760118487,-0.181076400245743,-0.388149099970789,0.353881236448991,0.47361620549625,-0.759826559692158,-0.359928193108352,0.0406862441037619,-0.167655341664195,0.321086893572263,-0.0324935524015314,0.327116816914693,0.935880367856123,-0.116169696608958,0.0251026488055643
"Created""",-0.194649875999481,0.172271321015603,0.0629622735572655,0.048832013858108,0.151305374600001,0.654365349351235,0.590503153450138,0.159796582754128,0.561979593442956,-0.318306790323717,0.311535123408193,0.681110233145008,0.170611855273047,0.163553815148579,-0.492420055413757
"DSStore",-0.731727731683836,-0.0296000223425697,-0.0494880745584801,-0.728065208724271,0.049211319357024,0.51185929060208,-0.339430286557342,-0.239343469529042,-0.54920293023271,-0.565784283503645,-0.408596590661466,0.0421296753709079,-0.24172849865616,0.333864867906001,-0.634075667250343
"Default",0.465376513743285,-0.113175542972361,0.0366899065731324,0.486700303610476,-0.218315340615285,0.838911783651204,-0.511034484480355,0.0619504376699803,0.204360622040179,0.364534038117853,-0.0770260135856368,-0.114866373838534,-0.247904580938866,-0.370304550664689,-0.821535093462014
"DropdownModule",0.0276704669716905,0.39493322839905,-0.316502702937646,-0.173186173230597,-0.637936428219515,0.203655000301431,-0.713383308621793,0.124356770277504,0.296683407724058,-0.0979850010667136,-0.0545266595215687,-0.18745062355994,0.0121719027583859,0.450025662314957,-0.202812547091692
"DummyApi",-0.114941520916889,-0.67364145026778,-0.552533893226651,0.039392772904554,-0.515998806039971,0.191634163395868,0.306213889062016,-0.714558458850083,0.708181954985752,-0.466818412842421,-0.726968714687186,-0.11657426814356,-0.0610326970924855,0.431994247904264,0.310121115628547
"DummyApiapiConfig""",0.351199485878516,0.24658142049739,-0.193772268279007,0.473569560398594,-0.203326881907063,-0.490801781584882,0.688274741769837,0.128169636140311,0.0448375657875853,0.162080411470861,0.393287240416625,-0.249692173949105,-0.230233438199008,0.885511076062827,-0.500159211818229
"Enabled",0.879190252340321,-0.0801732436078676,0.173464791789004,-0.777397443068631,0.343566775168026,-0.473483892456642,-0.33682195987708,0.17767308799791,-0.224434775222148,-0.692159422678238,-0.129161035234234,-0.363427687747313,0.295018067820206,0.461518682500462,-0.554142836318313
"EntityFramework""",-0.826630849144006,-0.79964802077377,0.714569430585305,-0.0945465101600814,-0.777569187283727,0.361470807568251,-0.182429406356683,0.050807945357262,-0.0189481237360416,0.535094526500045,0.669341799981334,-0.194805196183352,-0.0803868833494727,0.357776182659841,-0.831461479248051
"EntityFrameworkSqlServer""",0.619831919262287,-0.807162801650242,0.285524391270481,-0.213599236677575,0.618683816792409,-0.680972719862519,-0.0778335232796251,-0.103205273373501,-0.46537074450956,-0.613418351699779,-0.299946221126373,0.275708394187645,0.328539075704667,-0.141317003979708,0.0229356632208401
"EnvEXPOACCOUNTOWNER""",0.492021970458549,-0.613360298463743,0.380685173156606,-0.506998876332384,-0.238957382803372,-0.902903964999423,0.451273420920671,-0.13438640855967,-0.297523990439555,-0.347600368008651,-0.0561696900959942,-0.261639009940145,0.346401524529176,-0.660712302358809,-0.625565575690764
"EnvNAME",-0.345229785263233,-0.405409411164755,-0.187943457738873,-0.115711960082447,0.121533096268139,-0.121870314643271,-0.043905275682904,-0.112350719556693,-0.274677602849079,0.18024195810911,-0.287660485427572,-0.0599918595051244,0.0249187534188783,-0.17682901314519,0.200131740205421
